total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,reproduction_rate
7955.0,51.0,215.0,1.0,1455.459,9.331,39.337,0.183,4318.0,93445.0,17.097,0.79,0.0135,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.71
7996.0,41.0,216.0,1.0,1462.961,7.501,39.52,0.183,4285.0,97730.0,17.881,0.784,0.0129,77.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.69
8034.0,38.0,217.0,1.0,1469.913,6.953,39.703,0.183,3751.0,101481.0,18.567,0.686,0.0138,72.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.67
8070.0,36.0,218.0,1.0,1476.5,6.587,39.886,0.183,3804.0,105285.0,19.263,0.696,0.0121,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.66
8099.0,29.0,219.0,1.0,1481.806,5.306,40.069,0.183,1304.0,106589.0,19.502,0.239,0.0124,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.66
8105.0,6.0,219.0,0.0,1482.903,1.098,40.069,0.0,1005.0,107594.0,19.686,0.184,0.0111,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,14.462,0.64
8132.0,27.0,224.0,5.0,1487.843,4.94,40.983,0.915,4405.0,111999.0,20.492,0.806,0.01,100.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.89,14.462,0.63
8157.0,25.0,228.0,4.0,1492.417,4.574,41.715,0.732,4799.0,116798.0,21.37,0.878,0.0087,115.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.89,14.462,0.62
8175.0,18.0,229.0,1.0,1495.711,3.293,41.898,0.183,4472.0,121270.0,22.188,0.818,0.0076,131.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.89,14.462,0.61
8196.0,21.0,232.0,3.0,1499.553,3.842,42.447,0.549,4207.0,125477.0,22.957,0.77,0.0068,148.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.61
8219.0,23.0,232.0,0.0,1503.761,4.208,42.447,0.0,4179.0,129656.0,23.722,0.765,0.0061,163.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.63
8237.0,18.0,232.0,0.0,1507.054,3.293,42.447,0.0,1314.0,130970.0,23.962,0.24,0.0057,176.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.64
8249.0,12.0,232.0,0.0,1509.25,2.196,42.447,0.0,668.0,131638.0,24.085,0.122,0.006,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.64
8257.0,8.0,233.0,1.0,1510.714,1.464,42.63,0.183,4413.0,136051.0,24.892,0.807,0.0052,192.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.64
8267.0,10.0,233.0,0.0,1512.543,1.83,42.63,0.0,4664.0,140715.0,25.745,0.853,0.0046,217.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.65
8281.0,14.0,234.0,1.0,1515.105,2.561,42.813,0.183,3955.0,144670.0,26.469,0.724,0.0045,220.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.68
8309.0,28.0,235.0,1.0,1520.228,5.123,42.996,0.183,1150.0,145820.0,26.679,0.21,0.0056,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.72
8332.0,23.0,235.0,0.0,1524.436,4.208,42.996,0.0,3348.0,149168.0,27.292,0.613,0.0058,172.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.74
8346.0,14.0,235.0,0.0,1526.997,2.561,42.996,0.0,1042.0,150210.0,27.483,0.191,0.0057,176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.75
8352.0,6.0,235.0,0.0,1528.095,1.098,42.996,0.0,901.0,151111.0,27.648,0.165,0.0053,189.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.75
8364.0,12.0,235.0,0.0,1530.29,2.196,42.996,0.0,4076.0,155187.0,28.393,0.746,0.0056,178.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.76
8383.0,19.0,235.0,0.0,1533.767,3.476,42.996,0.0,3458.0,158645.0,29.026,0.633,0.0065,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.77
8401.0,18.0,235.0,0.0,1537.06,3.293,42.996,0.0,3290.0,161935.0,29.628,0.602,0.007,143.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.77
8411.0,10.0,236.0,1.0,1538.89,1.83,43.179,0.183,2787.0,164722.0,30.138,0.51,0.0054,185.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.77
8422.0,11.0,236.0,0.0,1540.902,2.013,43.179,0.0,2595.0,167317.0,30.613,0.475,0.005,201.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.79
8437.0,15.0,236.0,0.0,1543.647,2.744,43.179,0.0,2595.0,167317.0,30.613,0.475,0.0052,191.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.82
8440.0,3.0,236.0,0.0,1544.196,0.549,43.179,0.0,636.0,167953.0,30.729,0.116,0.0052,191.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.84
8446.0,6.0,236.0,0.0,1545.293,1.098,43.179,0.0,746.0,168699.0,30.865,0.136,0.0061,164.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,14.462,0.87
8455.0,9.0,237.0,1.0,1546.94,1.647,43.362,0.183,3850.0,172549.0,31.57,0.704,0.0052,193.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.91
8477.0,22.0,237.0,0.0,1550.965,4.025,43.362,0.0,3139.0,175688.0,32.144,0.574,0.0055,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.97
8504.0,27.0,238.0,1.0,1555.905,4.94,43.545,0.183,2930.0,178618.0,32.68,0.536,0.0067,149.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,1.01
8522.0,18.0,238.0,0.0,1559.198,3.293,43.545,0.0,2935.0,181553.0,33.217,0.537,0.007,142.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,1.0
8531.0,9.0,238.0,0.0,1560.845,1.647,43.545,0.0,952.0,182505.0,33.391,0.174,0.0063,158.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,1.0
8547.0,16.0,238.0,0.0,1563.772,2.927,43.545,0.0,949.0,183454.0,33.565,0.174,0.0069,144.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,1.01
8561.0,14.0,239.0,1.0,1566.334,2.561,43.728,0.183,5755.0,189209.0,34.618,1.053,0.0056,178.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.99
8576.0,15.0,239.0,0.0,1569.078,2.744,43.728,0.0,5662.0,194871.0,35.654,1.036,0.0054,184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.97
8594.0,18.0,239.0,0.0,1572.372,3.293,43.728,0.0,4562.0,199433.0,36.489,0.835,0.0049,202.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.96
8608.0,14.0,242.0,3.0,1574.933,2.561,44.277,0.549,4869.0,204302.0,37.379,0.891,0.004,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52,14.462,0.95
